#lan,distance,concept1,concept2
17,7.3328423500061035,sun,god
17,7.276230335235596,ant,termite
17,7.262988090515137,thunder,bolt
17,7.261749744415283,defend,rescue
17,7.202315330505371,borrow,ask
17,7.200323104858398,build,produce
17,6.942048072814941,feather,wool
17,6.92302131652832,ground,country
17,6.918076992034912,summit,tip
17,6.629645347595215,wing,arm
17,6.370009899139404,salty,sour
17,6.098389625549316,jump,dance
17,6.063185691833496,correct,yes
17,5.13918399810791,want,like
16,9.931038856506348,do,repair
16,9.349112510681152,plantain,hair
16,9.349112510681152,hair,plantain
16,9.229962348937988,hair,hatch
16,9.21694278717041,cultivate,dig
16,9.041234016418457,where,whither
16,8.951823234558105,fur,plantain
16,8.29905891418457,beak,lip
16,8.257678031921387,resemble,match
16,7.959752559661865,money,iron
16,7.931413650512695,take,tooth
16,7.890034198760986,faithful,certain
16,7.886945724487305,mouth,door
16,7.693902015686035,paddle,shovel
16,7.462527275085449,stranger,guest
16,7.408060073852539,move,mix
16,7.398984432220459,fortress,tower
16,7.391245365142822,high,loud
16,7.366812705993652,cup,dish
16,7.345238208770752,knock,strike
16,7.236149787902832,write,painting
16,7.138814926147461,loud,hard
16,7.051941871643066,dew,fog
16,7.04332160949707,seem,emerge
16,7.033104419708252,earth,field
16,6.928004264831543,grief,anxiety
16,6.907279014587402,copper,iron
16,6.876267433166504,accuse,convict
16,6.748810768127441,pull,lead
16,6.705077171325684,weak,lazy
16,6.662938594818115,walk,come
16,6.074089527130127,roll,wrap
16,6.039525032043457,keep,own
16,5.609264850616455,steal,hide
16,5.241747856140137,mother-in-law,daughter-in-law
16,4.794074058532715,our,your
16,4.375595569610596,aunt,sister
15,9.863542556762695,lung,thirsty
15,9.580497741699219,latch,doorpost
15,8.824198722839355,wool,hair
15,8.798912048339844,sickle,wood
15,8.715907096862793,build,do
15,8.535317420959473,chicken,springtime
15,8.17342472076416,proud,boast
15,8.148198127746582,whisper,mumble
15,8.091039657592773,leaf,write
15,8.074399948120117,vine,rope
15,7.971951007843018,study,announce
15,7.909615516662598,dog,jaguar
15,7.6857590675354,armour,weapons
15,7.680779933929443,dig,scratch
15,7.633743762969971,work,affair
15,7.6238789558410645,immediately,fast
15,7.5416178703308105,spirit,breath
15,7.49399995803833,knead,rub
15,7.345238208770752,knock,strike
15,7.300208568572998,new,heart
15,7.259487152099609,guard,preserve
15,7.25029993057251,near,short
15,7.220551490783691,fever,fire
15,7.209563732147217,rise,grow
15,7.097334384918213,tie,knit
15,6.954756259918213,wheat,barley
15,6.926305294036865,grief,regret
15,6.825342178344727,clean,good
15,6.802502155303955,cold,fresh
15,6.674015998840332,son-in-law,daughter-in-law
15,6.659627437591553,prisoner,prison
15,6.445568561553955,forest,grass
15,6.420492172241211,drink,smoke
15,6.331984043121338,many,full
15,6.269353866577148,want,ask
15,6.246145725250244,father-in-law,son-in-law
15,6.159830093383789,grandmother,mother-in-law
15,6.107903957366943,big,fat
15,6.040660381317139,head,end
15,5.8115057945251465,fight,kill
15,5.78745698928833,thief,steal
15,5.282433032989502,late,after
15,5.265900611877441,again,and
14,9.571470260620117,follow,hunt
14,8.453837394714355,untie,undress
14,8.261457443237305,believe,obey
14,8.247057914733887,bird,tooth
14,8.229910850524902,centipede,scorpion
14,8.178364753723145,prepare,repair
14,8.171688079833984,cave,bitter
14,8.167840003967285,moon,noon
14,8.05465316772461,have,nose
14,7.856382369995117,book,transport
14,7.816256999969482,gather,sweep
14,7.8162126541137695,locust,grasshopper
14,7.776607990264893,stone,my
14,7.684645175933838,club,tree
14,7.67460298538208,cut,slaughter
14,7.672645568847656,hard,dry
14,7.668994426727295,belly,guts
14,7.523871898651123,arrive,approach
14,7.4831132888793945,affair,business
14,7.439477443695068,clay,land
14,7.419933795928955,yam,belly
14,7.205085754394531,have,rich
14,7.164710521697998,twist,bend
14,7.097764015197754,deep,early
14,6.938862323760986,clean,white
14,6.9084391593933105,flow,walk
14,6.719289779663086,cloak,coat
14,6.652946472167969,mother,your
14,6.6319966316223145,rule,command
14,6.602935791015625,rule,lead
14,6.409051895141602,edge,top
14,6.399246692657471,play,dance
14,6.394771099090576,help,rescue
14,6.384448528289795,carry,buy
14,6.246145725250244,father-in-law,son-in-law
14,6.20734977722168,far,that
14,6.108982563018799,lift,take
14,6.097961902618408,knock,beat
14,5.950466632843018,dirty,ugly
14,5.931768417358398,grandfather,father-in-law
14,5.579743385314941,scabies,ringworm
14,5.291772842407227,feel,understand
14,5.282956123352051,explain,say
14,5.241747856140137,mother-in-law,daughter-in-law
14,5.241747856140137,daughter-in-law,mother-in-law
14,4.9716973304748535,hear,think
14,4.656179428100586,father-in-law,mother-in-law
14,4.376605033874512,where,which
14,4.270521640777588,because,if
13,9.302922248840332,seed,testicles
13,9.26875114440918,grind,sharpen
13,9.09455680847168,nose,cape
13,8.850380897521973,bead,iron
13,8.703259468078613,blunt,deaf
13,8.361539840698242,seed,day
13,8.17979621887207,louse,womb
13,8.16995620727539,waist,hip
13,8.165426254272461,send,sew
13,8.067368507385254,morning,seven
13,8.056634902954102,ripe,white
13,8.009160041809082,club,wood
13,7.984683036804199,stab,pound
13,7.820399284362793,gather,fold
13,7.808725357055664,fog,harmattan
13,7.788612365722656,measure,try
13,7.742045879364014,melt,change
13,7.721038818359375,work,plant
13,7.685307502746582,wing,write
13,7.658894062042236,sing,read
13,7.62945032119751,often,water
13,7.552272319793701,smooth,correct
13,7.534342288970947,name,egg
13,7.532088279724121,hold,preserve
13,7.405002117156982,turn,translate
13,7.389404773712158,imitate,try
13,7.375540733337402,rescue,preserve
13,7.319761753082275,vein,tendon
13,7.2985663414001465,grain,fruit
13,7.249734878540039,flow,go
13,7.157932281494141,speech,preach
13,7.134775161743164,slave,prisoner
13,7.076263904571533,side,milk
13,6.9557600021362305,rise,stand
13,6.922600269317627,blood,meat
13,6.898797988891602,say,language
13,6.895234107971191,frost,cold
13,6.855969429016113,towel,rag
13,6.774576187133789,ask,listen
13,6.716115951538086,lift,build
13,6.662613391876221,enter,set
13,6.6287007331848145,give,do
13,6.588371753692627,feel,smell
13,6.5482330322265625,neck,bone
13,6.53503942489624,go,ride
13,6.4797163009643555,person,husband
13,6.434886932373047,top,end
13,6.42041015625,feel,learn
13,6.394437789916992,banyan,fig
13,6.18826961517334,cotton,thread
13,6.181331157684326,weak,tired
13,6.107903957366943,big,fat
13,6.104111671447754,last,behind
13,5.965519905090332,whale,shark
13,5.636984825134277,look,old
13,5.597322940826416,certain,correct
13,5.387430191040039,daughter-in-law,father-in-law
13,5.306286334991455,aunt,mother
13,5.29085636138916,we,our
13,5.137392520904541,how,which
12,9.589994430541992,testicles,breadfruit
12,9.273996353149414,line,furrow
12,9.134966850280762,field,furrow
12,8.776607513427734,river,drink
12,8.726420402526855,do,produce
12,8.593842506408691,weave,build
12,8.535557746887207,thou,red
12,8.53115177154541,ditch,river
12,8.437389373779297,send,weave
12,8.405967712402344,break,snapp
12,8.169135093688965,deaf,pull
12,8.139683723449707,road,footprint
12,8.138069152832031,dry,liver
12,8.113321304321289,borrow,deep
12,8.089032173156738,belly,intestines
12,8.032480239868164,look,preserve
12,8.017030715942383,seed,bow
12,8.015079498291016,thorn,bone
12,7.989847183227539,burn,arson
12,7.970072269439697,new,burning
12,7.955591678619385,thou,eat
12,7.871417045593262,name,ear
12,7.8652753829956055,beak,tooth
12,7.854215145111084,mouth,yam
12,7.828071117401123,scatter,plant
12,7.820307731628418,high,cake
12,7.79688024520874,darkness,throw
12,7.7783074378967285,believe,letter
12,7.765624046325684,bridge,day
12,7.74916934967041,fowl,rooster
12,7.681122303009033,crooked,wrong
12,7.663554668426514,peel,scrape
12,7.577919960021973,mistake,miss
12,7.566682815551758,sleep,our
12,7.546743869781494,take,yam
12,7.499491214752197,scold,curse
12,7.3976359367370605,bone,shin
12,7.389309406280518,weave,twist
12,7.3870086669921875,take,trap
12,7.370538711547852,squeeze,strain
12,7.363651275634766,shell,skin
12,7.305765628814697,cook,produce
12,7.178073883056641,poor,difficult
12,7.123434066772461,suck,smoke
12,7.112003803253174,prepare,produce
12,7.087258338928223,darkness,obscure
12,7.058516502380371,above,peak
12,7.0381598472595215,corpse,bone
12,6.991353988647461,price,wages
12,6.976414680480957,mud,swamp
12,6.889931678771973,line,thread
12,6.8629069328308105,relatives,brother
12,6.797924041748047,relatives,sibling
12,6.7894206047058105,fruit,meat
12,6.770064353942871,cloud,storm
12,6.759189128875732,ash,white
12,6.716559886932373,end,fringe
12,6.7029290199279785,groan,shriek
12,6.689903736114502,master,teacher
12,6.622894763946533,mother-in-law,son-in-law
12,6.60548734664917,take,mouth
12,6.597111225128174,thing,tool
12,6.521368980407715,refuse,forbid
12,6.42637300491333,rule,own
12,6.409151077270508,twist,wrap
12,6.380987644195557,river,sea
12,6.246145725250244,son-in-law,father-in-law
12,6.194849967956543,call,ask
12,6.170312404632568,name,one
12,6.145903587341309,leave,drive
12,6.119328498840332,stone,hill
12,6.070872783660889,big,old
12,6.010412216186523,shoot,pull
12,5.931768417358398,father-in-law,grandfather
12,5.885448455810547,get,own
12,5.276660919189453,black,green
12,5.241747856140137,mother-in-law,daughter-in-law
12,4.965924263000488,yellow,white
12,4.7492218017578125,blue,black
12,4.714410305023193,explain,tell
12,3.979388952255249,how,where
11,9.431425094604492,blue,unripe
11,9.412341117858887,new,firewood
11,8.998408317565918,waist,back
11,8.797171592712402,bone,launder
11,8.598326683044434,hole,lair
11,8.498101234436035,vegetables,dog
11,8.327067375183105,rope,launder
11,8.313335418701172,vomit,two
11,8.283611297607422,spider,swell
11,8.272112846374512,destroy,rub
11,8.19102954864502,bitter,sharp
11,8.164042472839355,our,me
11,8.122503280639648,mast,post
11,8.063879013061523,weather,world
11,8.008716583251953,good,good-looking
11,8.001877784729004,sweet,fragrant
11,7.907491207122803,divide,steal
11,7.808234691619873,beeswax,earwax
11,7.769237995147705,village,people
11,7.734451770782471,mother,thumb
11,7.725552558898926,right,fruit
11,7.723085880279541,hunt,dispel
11,7.704786777496338,cease,end
11,7.701928615570068,mix,stir
11,7.690701007843018,sew,stab
11,7.645668029785156,gather,mow
11,7.617383003234863,thigh,buttocks
11,7.603865146636963,steel,jug
11,7.597812652587891,clean,beautiful
11,7.579598426818848,sharp,tooth
11,7.5609517097473145,eat,your
11,7.5548272132873535,imitate,learn
11,7.550444602966309,board,slab
11,7.530394554138184,bait,trap
11,7.49207878112793,show,teach
11,7.476175308227539,shoulder,wing
11,7.465977668762207,spoon,paddle
11,7.441128730773926,country,floor
11,7.427027225494385,yolk,yellow
11,7.3790283203125,stinking,smell
11,7.370916843414307,vulture,hawk
11,7.366843223571777,kiss,smell
11,7.346928596496582,week,seven
11,7.298703670501709,who,sleep
11,7.295093536376953,mud,dirty
11,7.213247299194336,sky,up
11,7.203018665313721,beeswax,candle
11,7.062820911407471,raw,soup
11,7.006524562835693,sickle,scythe
11,6.869945049285889,say,burn
11,6.848696708679199,taste,hear
11,6.834697723388672,this,he
11,6.741511344909668,destroy,damage
11,6.4681925773620605,high,big
11,6.454622745513916,have,in
11,6.436010360717773,board,floor
11,6.278725624084473,bruise,scar
11,6.159830093383789,grandmother,mother-in-law
11,5.945539951324463,straight,good
11,5.927318572998047,answer,promise
11,5.701746940612793,give,hear
11,5.609221935272217,hear,feel
11,5.52138090133667,pay,sell
11,4.836184501647949,now,soon
11,4.764716625213623,bring,give
11,4.339713096618652,our,their
11,4.337756633758545,now,this
11,4.069286823272705,my,your
11,10.154895782470703,drip,pour
10,9.744111061096191,taro,die
10,9.471025466918945,heart,firewood
10,8.997299194335938,hoe,spade
10,8.792525291442871,alcohol,mead
10,8.782832145690918,daughter-in-law,knife
10,8.767380714416504,ointment,oil
10,8.733440399169922,club,breast
10,8.726446151733398,roar,rustle
10,8.66701889038086,hut,adobe
10,8.650297164916992,shout,pour
10,8.633612632751465,seize,buy
10,8.625496864318848,wet,taro
10,8.621688842773438,sharp,wind
10,8.600112915039062,mountain,nose
10,8.577963829040527,lung,foam
10,8.509993553161621,waist,spine
10,8.46390438079834,louse,four
10,8.389266967773438,faithful,correct
10,8.365045547485352,say,convey
10,8.354984283447266,dry,teach
10,8.321221351623535,fever,shiver
10,8.285333633422852,spicy,walk
