#languages that colexify these two concepts,concept1,concept2
29,COUSIN,BROTHER
29,COUNTRY,WORLD
29,COLD,COLD (CHILL)
29,CLOUD,SMOKE (EXHAUST)
29,BLOOD,SAP
29,BITE,CHEW
29,BEND,FOLD
29,BECOME,HAPPEN
29,BE BORN,BEGET
29,BARK,SKIN (OF FRUIT)
29,BACK,UPPER BACK
28,WOOL,FUR
28,WIND,STORM
28,WHAT,WHICH
28,TALL,LOUD
28,STOVE,FIREPLACE
28,STINKING,ROTTEN
28,STAND,CEASE
28,SMALL,YOUNG
28,SLOW,BE LATE
28,SLEEP,LIE (REST)
28,SKIN,BODY
28,PREGNANT,CONCEIVE
28,PLACE (POSITION),AREA
28,OLD,OLD WOMAN
28,LOUSE,FLEA
28,LEG,BONE
28,GO OUT,LEAVE
28,GIVE,PAY
28,FULL,TURTLE
28,FOWL,CHICKEN
28,FLOUR,DOUGH
28,FIRE,CAMPFIRE
28,FEATHER,LEAF
28,EDGE,LIP
28,EARTH (SOIL),MAINLAND
28,DIE,KILL
28,DIE,DEATH
28,DESTROY,BREAK (DESTROY OR GET DESTROYED)
28,CLEAN,HOLY
28,CIRCLE,WHEEL
28,CATTLE,ANIMAL
28,BOW,ARCH
27,WING,LEAF
27,VOICE,NECK
27,THOU,THOU (HONORIFIC)
27,SWEEP,WIPE
27,STONE,ROCK
27,STALLION,HORSE
27,SPEAR,WOOD
27,SON,CHILD (YOUNG HUMAN)
27,SIT,REMAIN
27,SIDE,HALF
27,SHORE OF LAKE,COAST
27,SAUCER,PLATE
27,ROPE,RATTAN
27,PUSH,REFUSE
27,OPEN,UNTIE
27,OLD (USED),OLD (AGED)
27,LANGUAGE,MOUTH
27,KNIFE,SWORD
27,INTENTION,IDEA
27,HUT,ROOM
27,GIRL,BOY
27,GET,BUY
27,FATHER-IN-LAW (OF MAN),SON-IN-LAW (OF MAN)
27,EGG,FRUIT
27,DOUBT,SUSPECT
27,DAY (24 HOURS),DAY (NOT NIGHT)
27,COW,BULL
27,CORPSE,BODY
27,BOWL,PLATE
27,BIG,POWERFUL
27,BAD,WRONG
26,YOU,YOU (HONORIFIC)
26,WIND,COLD
26,WEIGH,PULL
26,TIDE,HIGH TIDE
26,SLEEP (STATE),DREAM
26,SEND,COMMAND
26,SAP,WATER
26,PRESS,DRAW MILK
26,PINCH,SQUEEZE
26,OLDER SISTER,OLDER SIBLING
26,LIVER,HEART
26,HILL,ELEVATION
26,HEN,ROOSTER
26,HARD,ROUGH
