distance,concept1,concept2,#lan,relation
7.1354594230651855,arm,branch,4,RelatedTo
7.138515472412109,big,city,2,RelatedTo
7.140819072723389,comb,rake,2,RelatedTo
7.141972064971924,soldier,guard,2,RelatedTo
7.148017883300781,young,baby,5,RelatedTo
7.151113033294678,do,crawl,2,RelatedTo
7.154452800750732,young,son,3,RelatedTo
7.156188011169434,fight,cut,2,RelatedTo
7.156188011169434,fight,cut,3,RelatedTo
7.157141208648682,mouth,tooth,40,AtLocation,PartOf,RelatedTo
7.157141208648682,mouth,tooth,40,AtLocation,PartOf,RelatedTo
7.157141208648682,mouth,tooth,40,AtLocation,PartOf,RelatedTo
7.159390926361084,mouth,beak,24,RelatedTo
7.159721374511719,sick,die,11,MotivatedByGoal
7.161868572235107,chicken,rooster,21,IsA
7.164806842803955,tree,stick,66,AtLocation,RelatedTo
7.164806842803955,tree,stick,66,AtLocation,RelatedTo
7.165608882904053,branch,twig,43,RelatedTo
7.166295051574707,edge,coast,3,IsA,RelatedTo
7.166295051574707,edge,coast,3,IsA,RelatedTo
7.167623519897461,lamb,ewe,7,RelatedTo
7.171380519866943,swelling,blister,3,RelatedTo
7.172426700592041,rib,bone,5,RelatedTo
7.172849178314209,salty,sea,2,RelatedTo
7.17370080947876,quarrel,fight,38,RelatedTo
7.177888870239258,foot,hoof,3,RelatedTo
7.1781086921691895,high,sky,6,RelatedTo
7.179440975189209,sew,cut,2,Antonym
7.180612564086914,paddle,rudder,39,RelatedTo
7.181999206542969,eyelid,eyelash,32,PartOf
7.184228897094727,voice,song,3,RelatedTo
7.185275077819824,give,smoke,2,RelatedTo
7.186213493347168,alcohol,beer,18,HasA,IsA,RelatedTo
7.186213493347168,alcohol,beer,18,HasA,IsA,RelatedTo
7.186213493347168,alcohol,beer,18,HasA,IsA,RelatedTo
7.186983585357666,mud,soil,2,RelatedTo
7.187098979949951,head,hair,10,AtLocation,PartOf,RelatedTo
7.187098979949951,head,hair,10,AtLocation,PartOf,RelatedTo
7.187098979949951,head,hair,10,AtLocation,PartOf,RelatedTo
7.187098979949951,head,hair,17,AtLocation,PartOf,RelatedTo
