concept 1,concept 2,language weight,similarity
time,season,33,0.189967900562959
relatives,family,33,0.42297546329336394
time,hour,33,0.3597361759435443
bad,rotten,33,0.15039209435843948
thou,you,33,0.2833999833428901
extinguish,kill,33,0.16396885562548133
leaf,hair,33,0.21093790299099682
big,thick,33,0.20690124345123265
pine,fir,33,0.5770452876416143
he,it,32,0.23984060732430654
eagle,hawk,32,0.4114282728078175
stab,pierce,32,0.1873364842565596
thunder,lightning,32,0.5223877520722341
tie,connect,32,0.20197977556793914
build,make,32,0.30261533434235727
river,stream,32,0.518680357495254
hear,obey,32,0.18730048121713144
female,wife,32,0.18312205980139235
many,more,32,0.2294662140325216
high,up,32,0.16102013424057696
now,immediately,32,0.08358994190740723
master,chieftain,32,0.16004807984909167
blow,wind,31,0.38331095867617293
cut,kill,31,0.16117173665755619
cast,mold,31,0.3291095742600868
food,eat,31,0.44490016872738347
sick,painful,31,0.11353419991017093
darkness,night,31,0.3719954332810834
guess,think,31,0.38423197814954
bee,honey,31,0.36562734954606857
son,child,31,0.40843234013553176
mind,idea,31,0.30491152674122507
wet,raw,31,0.20733037579350194
seed,bone,31,0.17631810457762961
find,see,31,0.3477206416724121
swim,row,31,0.230380142884532
immediately,soon,31,0.3758473506082837
that,he,31,0.27116124911221734
mouse,rat,31,0.5288754718911313
i,we,31,0.46779770223348577
feather,fur,30,0.29556892825860565
speak,language,30,0.3760823043633039
jaw,cheek,30,0.3284898234034347
tobacco,smoke,30,0.2667590149017564
split,tear,30,0.041276872764642786
beak,nose,30,0.3690340767067083
walk,leave,30,0.2788311180204585
hole,nest,30,0.2889633795592601
hip,buttocks,30,0.36746496313190763
yellow,green,30,0.5047320581193843
price,expensive,30,0.14226122389923687
stomach,womb,30,0.30758180564945303
fat,butter,30,0.3557153716817448
swim,bathe,30,0.37288369025985657
she,it,30,0.26285927841930956
lock,key,29,0.3976174057938304
country,world,29,0.30287029771081825
become,happen,29,0.11032130805490674
first,before,29,0.2592423225648418
tree,firewood,29,0.19341274785478793
grandfather,grandchild,29,0.3415863323689011
bite,chew,29,0.24749402332525422
bark,skin,29,0.20830582586619703
blood,sap,29,0.24239985981014567
bend,fold,29,0.11558441650295173
cousin,brother,29,0.5144782229733723
see,watch,29,0.1717695979219599
water,beverage,29,0.22322756779742942
fast,soon,29,0.31315063574873236
cloud,smoke,29,0.472168541079641
sky,above,29,0.242452240163517
saucer,dish,29,0.39493272312560107
howl,shriek,29,0.42167040555988783
pregnant,conceive,28,0.06004402697195155
earth,mainland,28,0.05195381534225355
fowl,chicken,28,0.44085462086537197
die,kill,28,0.2981261408316322
give,pay,28,0.30228268339632347
stinking,rotten,28,0.29344666022036864
edge,lip,28,0.3532946980821351
wind,storm,28,0.436814816586944
feather,leaf,28,0.32262776141503824
clean,holy,28,0.0877800592970582
flour,dough,28,0.41269348114301063
sleep,lie,28,0.3765905100672295
what,which,28,0.14207366578260025
