concept 1,concept 2,language weight,similarity
black,green,12,0.4213598380563527
axe,spade,2,0.42131264520546213
fire,stove,2,0.42073646773054596
nostril,nose,8,0.4204788093553418
wind,weather,4,0.4200922517501486
cloud,cloudy,2,0.4197486390899073
hot,heat,22,0.41964197499665734
accuse,condemn,26,0.41962658458163443
alcohol,water,2,0.41924393437048924
kettle,pan,7,0.41904467781408145
seed,grain,67,0.41893711304969733
tree,leaf,3,0.41875739286765346
groan,shriek,12,0.4187271638767821
mat,mattress,3,0.41861813271513515
language,word,148,0.41829587606159413
dust,mud,4,0.4182299561361357
know,remember,3,0.41812252263315036
seed,fruit,37,0.4179007452065702
stool,chair,17,0.4177125897416028
dust,sand,7,0.4174694836703859
daughter,child,7,0.4174013550975195
daughter,child,16,0.4174013550975195
bag,sack,13,0.4173308241620961
lunch,eat,3,0.4170003373764594
howl,groan,8,0.4169823576359793
shout,shriek,39,0.41687085146053987
tooth,bone,10,0.4168430042837648
wolf,jackal,2,0.416776577794743
corpse,dead,6,0.4164849738272355
grass,green,3,0.4156896661163227
son,niece,5,0.41536670286878197
ash,beech,3,0.4152957331070431
shovel,spade,123,0.41521129166535153
flat,smooth,48,0.4149124069788904
young,boy,9,0.41491010946510587
skin,bone,2,0.41486146709835464
near,close,3,0.41481780922407635
how,what,47,0.4145552837662697
soft,sweet,4,0.4145059967190571
onion,garlic,4,0.4143676191502037
boundary,border,3,0.41431127110150123
roof,thatch,40,0.4141948205216069
one,two,3,0.4140071882015167
leave,remain,2,0.413923294656483
axle,spindle,8,0.4138740444924851
machine,motor,5,0.41346038342146707
spoon,fork,4,0.4131814770168338
pain,painful,4,0.4130942221082946
dark,blue,3,0.413056579028128
acorn,oak,19,0.41284071390259097
rain,weather,5,0.4127919802155953
flour,dough,28,0.41269348114301063
udder,milk,17,0.4125759834741468
because,if,14,0.4120734970261978
canoe,raft,7,0.4120597271273907
lazy,idle,3,0.4120176783763471
feel,think,2,0.4118421620808264
feel,think,3,0.4118421620808264
prisoner,prison,15,0.4117011430420282
sweet,gentle,2,0.41153868052198317
eagle,hawk,32,0.4114282728078175
grandson,niece,20,0.4112485588004671
lend,borrow,50,0.4109997513267806
spoon,ladle,7,0.4109174540608094
guard,protect,11,0.41074270516459577
