euclidean distance,concept1,concept2
4.40496301651001,remain,become
4.40669584274292,winter,autumn
4.410534381866455,money,pay
4.411108493804932,get,say
4.413706302642822,shame,fear
4.415221214294434,husband,friend
4.415402889251709,behind,back
4.415402889251709,behind,back
4.416713714599609,fight,battle
4.417430877685547,blue,green
4.417906761169434,if,or
4.4202117919921875,pull,turn
4.423000812530518,grandson,niece
4.4239983558654785,behind,inside
4.425120830535889,look,seem
4.426583766937256,come,here
4.4319257736206055,red,white
4.434532165527344,explain,admit
4.437604904174805,all,already
4.439006805419922,deny,refuse
4.44011926651001,morning,night
4.441623687744141,now,you
4.45745325088501,skirt,dress
4.4599127769470215,last,end
4.4599127769470215,last,end
4.460170269012451,all,whole
4.462655067443848,talk,conversation
4.462956428527832,get,look
4.463301658630371,see,understand
4.465691089630127,thing,place
4.467790603637695,beard,moustache
4.4682159423828125,ancestors,descendants
4.469871997833252,today,here
4.471500396728516,yesterday,afternoon
4.476640224456787,niece,daughter-in-law
4.476640224456787,niece,daughter-in-law
4.478161811828613,father,father-in-law
4.478161811828613,father,father-in-law
4.478161811828613,father-in-law,father
4.483582973480225,go,move
4.483582973480225,move,go
4.485296726226807,hold,pull
4.487013339996338,person,someone
4.487441539764404,bring,hold
4.48898983001709,get,ask
4.489302158355713,after,next
4.497547626495361,place,part
4.499508857727051,and,where
4.501443386077881,springtime,autumn
4.505191326141357,day,night
4.506548881530762,father-in-law,stepfather
4.506548881530762,stepfather,father-in-law
4.507988929748535,hold,keep
4.508127689361572,what,be
4.511667251586914,want,idea
4.511806488037109,take,hold
4.513821601867676,sister,brother
4.51497220993042,give,be
4.515660285949707,summer,autumn
4.515964984893799,find,look
4.522482395172119,defeat,victory
4.524888038635254,nephew,stepson
4.5249223709106445,regret,admit
4.525925636291504,late,after
4.526193618774414,many,enough
4.52774715423584,laugh,laughter
4.528810501098633,sister,friend
4.531009197235107,now,yes
4.531603813171387,two,with
4.534830093383789,know,learn
4.535758018493652,immediately,suddenly
4.53606653213501,and,one
4.545475482940674,happy,good
4.5460333824157715,many,very
4.546291351318359,long,far
4.5472025871276855,never,no
4.549560070037842,soon,after
4.5527424812316895,bad,mistake
4.554010391235352,niece,stepdaughter
4.554049015045166,brother,friend
4.554054260253906,know,who
4.55415678024292,accuse,condemn
4.556273460388184,put,do
4.563857555389404,say,swear
4.567944526672363,today,day
4.567944526672363,today,day
4.569098472595215,cow,pig
4.5704193115234375,grandfather,grandparents
4.574333667755127,pine,oak
4.575354099273682,try,do
4.576696872711182,see,check
4.577507495880127,behind,outside
4.580427646636963,seven,seventeen
4.581021785736084,now,say
4.581489086151123,he,it
4.585518836975098,end,after
4.588167190551758,howl,shriek
4.58989143371582,beech,birch
4.593428611755371,go,follow
4.594089508056641,move,change
4.594216346740723,back,after
4.594216346740723,back,after
4.598392009735107,and,or
4.604465961456299,half,twice
4.604475498199463,feel,seem
4.6075873374938965,daughter,nephew
4.607630252838135,give,where
4.608175754547119,afterwards,then
4.609994888305664,who,that
4.612025737762451,speak,say
4.612496852874756,happy,love
4.612846374511719,cause,because
4.619287014007568,stepfather,father
4.620419025421143,love,like
4.621086120605469,again,break
4.62213134765625,take,not
4.622840881347656,know,recognize
4.622991561889648,meal,lunch
4.62354850769043,lend,borrow
4.625087738037109,son-in-law,stepson
4.625087738037109,stepson,son-in-law
4.6263041496276855,explain,speak
4.627442836761475,speak,ask
4.6310296058654785,girl,woman
4.631961345672607,come,where
4.631971836090088,only,often
4.634212017059326,hear,think
4.634212017059326,hear,think
4.634212017059326,hear,think
4.634573936462402,pray,bless
4.638940811157227,get,pull
4.639823913574219,good,right
4.644547462463379,push,put
4.646612167358398,take,find
4.648839950561523,thing,which
4.649918079376221,what,which
4.6503071784973145,all,two
4.6506547927856445,change,want
4.652472019195557,finger,thumb
4.652988433837891,good,yes
4.653846263885498,hear,speak
4.655458927154541,true,truth
4.659056186676025,and,not
4.660515308380127,go,end
4.661696910858154,find,choose
4.667330741882324,left,right
4.668726921081543,temples,temple
4.67018461227417,have,find
4.676060676574707,have,own
4.678244113922119,find,understand
4.67881441116333,carry,bring
4.678853988647461,want,this
4.678998947143555,dolphin,whale
4.682146072387695,behind,beside
